JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male
926,14,22,60,8,6
927,17,22,64,1,16
928,23,28,55,0,23
929,4,38,47,0,4
930,631,20,78,6,625
931,1611,19,78,11,1600
932,36,23,67,0,36
933,908,20,72,11,897
934,5936,19,81,254,5682
935,3434,19,76,139,3295
936,35,30,63,0,35
937,57,18,64,9,48
938,1328,17,73,80,1248
939,25,27,72,0,25
940,230,25,68,0,230
941,266,21,76,28,238
942,289,22,65,1,288
943,718,21,70,28,690
944,8,38,63,0,8
945,51,22,66,0,51
946,174,27,70,1,173
947,462,21,72,8,454
948,82,24,67,1,81
949,281,22,65,3,278
950,4,26,30,0,4
951,538,20,69,14,524
952,236,22,73,9,227
953,28,32,60,0,28
954,13,23,58,2,11
955,123,23,67,1,122
956,6,30,47,0,6
957,10,38,48,0,10
958,45,22,61,10,35
959,457,24,78,0,457
960,38,40,65,0,38
961,194,22,69,0,194
962,119,24,70,0,119
963,149,20,71,1,148
964,943,22,75,41,902
965,2,46,48,0,2
966,555,19,66,18,537
967,19,24,54,3,16
968,9,30,49,0,9
969,1520,18,72,30,1490
970,28,26,53,0,28
971,535,20,80,19,516
972,77,27,71,0,77
973,16,30,62,2,14
974,88,22,70,1,87
975,25,35,64,1,24
976,20,29,68,1,19
977,12,41,58,4,8
978,212,22,68,5,207
979,162,23,76,13,149
980,37,40,74,1,36
981,78,34,78,9,69
982,22,24,69,5,17
983,5,36,55,0,5
984,3,34,49,0,3
985,85,25,76,8,77
986,2,37,54,0,2
987,28,26,58,3,25
988,1844,17,74,160,1684
989,127,31,71,25,102
990,11,19,60,0,11
991,3499,17,78,430,3069
992,87,25,67,2,85
993,51,23,64,5,46
994,191,28,67,14,177
995,142,20,68,40,102
996,73,28,64,8,65
997,2248,17,74,126,2122
998,8421,16,81,861,7560
999,3,41,43,0,3
1000,2,40,44,0,2
1001,4,23,50,1,3
1002,2,35,47,1,1
1003,6,29,53,1,5
1004,2,28,44,1,1
1005,5,22,48,0,5
1006,3,27,41,0,3
1007,2,37,40,0,2
1008,7779,16,86,956,6823
1009,2,27,52,1,1
1010,2,33,53,0,2
1011,13309,17,82,619,12690
1012,2,39,68,1,1
1013,163,17,81,36,127
1014,2,22,25,0,2
1015,2,28,45,0,2
1016,8,27,57,0,8
1017,2,41,41,0,2
